filename,x,y
Maximum Projection_ch01_SV.tif,110.16666666666667,110.5
Maximum Projection_ch01_SV.tif,32.90625,113.5625
Maximum Projection_ch01_SV.tif,223.8421052631579,112.47368421052632
Maximum Projection_ch01_SV.tif,45.51282051282051,115.51282051282051
Maximum Projection_ch01_SV.tif,115.5,113.5
Maximum Projection_ch01_SV.tif,29.835365853658537,124.9390243902439
Maximum Projection_ch01_SV.tif,53.5,120.5
Maximum Projection_ch01_SV.tif,47.31578947368421,122.36842105263158
Maximum Projection_ch01_SV.tif,18.77777777777778,131.88888888888889
Maximum Projection_ch01_SV.tif,1.0,134.83333333333334
Maximum Projection_ch01_SV.tif,27.5,133.0
Maximum Projection_ch01_SV.tif,177.0,133.0
Maximum Projection_ch01_SV.tif,17.5,136.16666666666666
Maximum Projection_ch01_SV.tif,40.75,138.75
Maximum Projection_ch01_SV.tif,185.08333333333334,141.83333333333334
Maximum Projection_ch01_SV.tif,20.4,155.66
Maximum Projection_ch01_SV.tif,32.0,150.33333333333334
Maximum Projection_ch01_SV.tif,162.4,150.6
Maximum Projection_ch01_SV.tif,34.75,155.91666666666666
Maximum Projection_ch01_SV.tif,127.2,162.9
Maximum Projection_ch01_SV.tif,181.71428571428572,165.42857142857142
Maximum Projection_ch01_SV.tif,186.5,164.0
Maximum Projection_ch01_SV.tif,109.76,167.96
Maximum Projection_ch01_SV.tif,310.0,167.88888888888889
Maximum Projection_ch01_SV.tif,128.3,171.1
Maximum Projection_ch01_SV.tif,235.0,169.0
Maximum Projection_ch01_SV.tif,314.6666666666667,169.66666666666666
Maximum Projection_ch01_SV.tif,241.125,172.125
Maximum Projection_ch01_SV.tif,322.0,170.66666666666666
Maximum Projection_ch01_SV.tif,319.5,173.5
Maximum Projection_ch01_SV.tif,333.5,173.0
Maximum Projection_ch01_SV.tif,16.2,176.7
Maximum Projection_ch01_SV.tif,334.4,175.8
Maximum Projection_ch01_SV.tif,141.33333333333334,176.33333333333334
Maximum Projection_ch01_SV.tif,151.64705882352942,179.6764705882353
Maximum Projection_ch01_SV.tif,190.5,177.0
Maximum Projection_ch01_SV.tif,121.55,179.55
Maximum Projection_ch01_SV.tif,215.53846153846155,180.30769230769232
Maximum Projection_ch01_SV.tif,12.833333333333334,181.75
Maximum Projection_ch01_SV.tif,131.11111111111111,183.44444444444446
Maximum Projection_ch01_SV.tif,316.0,181.5
Maximum Projection_ch01_SV.tif,218.08695652173913,184.2173913043478
Maximum Projection_ch01_SV.tif,97.66666666666667,188.83333333333334
Maximum Projection_ch01_SV.tif,104.83783783783784,195.05405405405406
Maximum Projection_ch01_SV.tif,134.28571428571428,191.0857142857143
Maximum Projection_ch01_SV.tif,152.2058823529412,192.2058823529412
Maximum Projection_ch01_SV.tif,210.0,188.5
Maximum Projection_ch01_SV.tif,180.5,191.5
Maximum Projection_ch01_SV.tif,228.76923076923077,195.84615384615384
Maximum Projection_ch01_SV.tif,98.5,198.0
Maximum Projection_ch01_SV.tif,114.0,199.5
Maximum Projection_ch01_SV.tif,129.63636363636363,200.0909090909091
Maximum Projection_ch01_SV.tif,148.5,198.0
Maximum Projection_ch01_SV.tif,114.0,202.5
Maximum Projection_ch01_SV.tif,123.66666666666667,203.0
Maximum Projection_ch01_SV.tif,236.15384615384616,204.76923076923077
Maximum Projection_ch01_SV.tif,354.0,202.5
Maximum Projection_ch01_SV.tif,110.5,204.0
Maximum Projection_ch01_SV.tif,119.0,205.66666666666666
Maximum Projection_ch01_SV.tif,341.6666666666667,204.33333333333334
Maximum Projection_ch01_SV.tif,193.28571428571428,207.57142857142858
Maximum Projection_ch01_SV.tif,138.35,211.35
Maximum Projection_ch01_SV.tif,106.5,211.0
Maximum Projection_ch01_SV.tif,193.5,212.5
Maximum Projection_ch01_SV.tif,359.25,213.0
Maximum Projection_ch01_SV.tif,105.83333333333333,214.83333333333334
Maximum Projection_ch01_SV.tif,110.3,216.65
Maximum Projection_ch01_SV.tif,330.8333333333333,215.33333333333334
Maximum Projection_ch01_SV.tif,179.33333333333334,221.33333333333334
Maximum Projection_ch01_SV.tif,77.875,223.5
Maximum Projection_ch01_SV.tif,199.33333333333334,226.66666666666666
Maximum Projection_ch01_SV.tif,374.0,229.5
Maximum Projection_ch01_SV.tif,62.0,231.84615384615384
Maximum Projection_ch01_SV.tif,119.5,230.0
Maximum Projection_ch01_SV.tif,381.0,230.5
Maximum Projection_ch01_SV.tif,382.3333333333333,233.33333333333334
Maximum Projection_ch01_SV.tif,195.0,236.25
Maximum Projection_ch01_SV.tif,238.58620689655172,238.0
Maximum Projection_ch01_SV.tif,196.58333333333334,239.75
Maximum Projection_ch01_SV.tif,147.30769230769232,250.89743589743588
Maximum Projection_ch01_SV.tif,143.0,250.5
Maximum Projection_ch01_SV.tif,173.0,252.5
Maximum Projection_ch01_SV.tif,400.5,255.0
Maximum Projection_ch01_SV.tif,408.25,260.59375
Maximum Projection_ch01_SV.tif,432.0,261.5
Maximum Projection_ch01_SV.tif,421.1,268.8
Maximum Projection_ch01_SV.tif,221.6,269.6
Maximum Projection_ch01_SV.tif,428.6666666666667,272.3333333333333
Maximum Projection_ch01_SV.tif,197.83333333333334,281.53333333333336
Maximum Projection_ch01_SV.tif,223.5,279.75
Maximum Projection_ch01_SV.tif,65.65517241379311,287.41379310344826
Maximum Projection_ch01_SV.tif,162.0,284.0
Maximum Projection_ch01_SV.tif,157.41176470588235,288.94117647058823
Maximum Projection_ch01_SV.tif,163.25,287.25
Maximum Projection_ch01_SV.tif,180.22222222222223,288.0
Maximum Projection_ch01_SV.tif,187.5,288.6818181818182
Maximum Projection_ch01_SV.tif,58.666666666666664,289.6666666666667
Maximum Projection_ch01_SV.tif,148.41666666666666,292.0833333333333
Maximum Projection_ch01_SV.tif,58.5,292.0
Maximum Projection_ch01_SV.tif,57.5,295.5
Maximum Projection_ch01_SV.tif,174.73333333333332,298.3333333333333
Maximum Projection_ch01_SV.tif,57.69230769230769,299.0769230769231
Maximum Projection_ch01_SV.tif,188.42857142857142,300.85714285714283
Maximum Projection_ch01_SV.tif,50.45454545454545,302.6363636363636
Maximum Projection_ch01_SV.tif,169.55555555555554,301.6666666666667
Maximum Projection_ch01_SV.tif,483.811320754717,305.77358490566036
Maximum Projection_ch01_SV.tif,31.833333333333332,304.1666666666667
Maximum Projection_ch01_SV.tif,162.0,303.2
Maximum Projection_ch01_SV.tif,174.0,302.3333333333333
Maximum Projection_ch01_SV.tif,46.5,305.0
Maximum Projection_ch01_SV.tif,492.5,305.0
Maximum Projection_ch01_SV.tif,260.8888888888889,307.55555555555554
Maximum Projection_ch01_SV.tif,498.0,308.5
Maximum Projection_ch01_SV.tif,208.5,311.5
Maximum Projection_ch01_SV.tif,477.25,310.5
Maximum Projection_ch01_SV.tif,490.5,311.0
Maximum Projection_ch01_SV.tif,73.14285714285714,313.5
Maximum Projection_ch01_SV.tif,159.5,313.5
Maximum Projection_ch01_SV.tif,206.69565217391303,316.30434782608694
Maximum Projection_ch01_SV.tif,479.0,313.5
Maximum Projection_ch01_SV.tif,500.5,313.0
Maximum Projection_ch01_SV.tif,111.8,315.6
Maximum Projection_ch01_SV.tif,477.8421052631579,320.10526315789474
Maximum Projection_ch01_SV.tif,493.0,317.5
Maximum Projection_ch01_SV.tif,500.3333333333333,317.3333333333333
Maximum Projection_ch01_SV.tif,504.0833333333333,321.0833333333333
Maximum Projection_ch01_SV.tif,46.83076923076923,325.7076923076923
Maximum Projection_ch01_SV.tif,487.7894736842105,323.10526315789474
Maximum Projection_ch01_SV.tif,102.0,324.35714285714283
Maximum Projection_ch01_SV.tif,131.8,323.6
Maximum Projection_ch01_SV.tif,514.5,323.0
Maximum Projection_ch01_SV.tif,112.33333333333333,330.35714285714283
Maximum Projection_ch01_SV.tif,493.5,326.5
Maximum Projection_ch01_SV.tif,138.4,330.0
Maximum Projection_ch01_SV.tif,494.3333333333333,330.6666666666667
Maximum Projection_ch01_SV.tif,39.44230769230769,335.71153846153845
Maximum Projection_ch01_SV.tif,80.5,331.3333333333333
Maximum Projection_ch01_SV.tif,120.85714285714286,331.7142857142857
Maximum Projection_ch01_SV.tif,66.51851851851852,338.05555555555554
Maximum Projection_ch01_SV.tif,497.7692307692308,340.61538461538464
Maximum Projection_ch01_SV.tif,562.6666666666666,338.3333333333333
Maximum Projection_ch01_SV.tif,35.333333333333336,341.6666666666667
Maximum Projection_ch01_SV.tif,41.5,342.0
Maximum Projection_ch01_SV.tif,507.19354838709677,350.38709677419354
Maximum Projection_ch01_SV.tif,51.75,350.14285714285717
Maximum Projection_ch01_SV.tif,517.5,353.0
Maximum Projection_ch01_SV.tif,179.75,357.4375
Maximum Projection_ch01_SV.tif,251.5,367.0
